club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url
11831,club-atletico-tigre,Club Atlético Tigre,ARG1,,30,26.0,3,10.0,0,José Dellagiovanna,26282,+€915k,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-tigre/startseite/verein/11831
12,as-rom,Associazione Sportiva Roma,IT1,,27,26.3,19,70.4,13,Olimpico di Roma,70634,€-24.45m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/as-rom/startseite/verein/12
1210,as-livorno,US Livorno 1915,IT1,,29,24.1,5,17.2,0,Armando Picchi,19238,+-0,,2013,../data/raw/transfermarkt-scraper/2013/clubs.json.gz,https://www.transfermarkt.co.uk/as-livorno/startseite/verein/1210
12179,independiente-rivadavia,Club Sportivo Independiente Rivadavia,ARG1,,28,27.1,6,21.4,1,Bautista Gargantini,24000,€-3.86m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/independiente-rivadavia/startseite/verein/12179
12301,club-atletico-aldosivi,Club Atlético Aldosivi,ARG1,,33,27.6,2,6.1,0,José María Minella,35180,+€2.56m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-aldosivi/startseite/verein/12301
12321,fc-girona,Girona FC,ES1,,25,25.2,14,56.0,5,Montilivi,14624,+€13.80m,Míchel,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-girona/startseite/verein/12321
1234,club-atletico-independiente,Club Atlético Independiente de Avellaneda,ARG1,,26,27.9,7,26.9,5,Libertadores de América-Ricardo Enrique Bochini,48069,€-1.86m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-independiente/startseite/verein/1234
1237,brighton-amp-hove-albion,Brighton & Hove Albion,GB1,,37,25.0,29,78.4,19,AMEX Stadium,31876,€-8.70m,Fabian Hürzeler,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/brighton-amp-hove-albion/startseite/verein/1237
1244,cd-leganes,CD Leganés,ES1,,24,27.7,5,20.8,3,Ontime Butarque,14422,+€17.05m,Borja Jiménez,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/cd-leganes/startseite/verein/1244
12454,club-atletico-sarmiento-junin-,Club Atlético Sarmiento,ARG1,,30,27.0,5,16.7,0,Eva Perón,23156,+€853k,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-sarmiento-junin-/startseite/verein/12454
1247,colorado-rapids,Colorado Rapids,MLS1,,30,23.7,16,53.3,6,Dick's Sporting Goods Park,33680,€-4.86m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/colorado-rapids/startseite/verein/1247
12574,club-deportivo-godoy-cruz-antonio-tomba,CD Godoy Cruz Antonio Tomba,ARG1,,31,25.7,2,6.5,0,Feliciano Gambarte,23000,+€8.69m,Daniel Oldrá,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/club-deportivo-godoy-cruz-antonio-tomba/startseite/verein/12574
1268,ado-den-haag,ADO Den Haag,NL1,,34,23.5,9,26.5,4,Bingoal Stadion,15000,+-0,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/ado-den-haag/startseite/verein/1268
1269,pec-zwolle,PEC Zwolle,NL1,,21,25.3,7,33.3,2,MAC³PARK stadion,14000,€-2.00m,Mirjam Clifford,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/pec-zwolle/startseite/verein/1269
127,sc-paderborn-07,SC Paderborn 07,L1,,26,25.7,5,19.2,1,Home Deluxe Arena,15000,€-450k,,2019,../data/raw/transfermarkt-scraper/2019/clubs.json.gz,https://www.transfermarkt.co.uk/sc-paderborn-07/startseite/verein/127
1283,fc-emmen,FC Emmen,NL1,,17,25.6,6,35.3,0,De Oude Meerdijk,8309,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/fc-emmen/startseite/verein/1283
1286,club-atletico-newells-old-boys,Club Atlético Newell’s Old Boys,ARG1,,34,26.1,7,20.6,0,Marcelo Bielsa,49000,+€3.20m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-newells-old-boys/startseite/verein/1286
13,atletico-madrid,Atlético de Madrid,ES1,,26,27.8,17,65.4,20,Riyadh Air Metropolitano,70460,€-62.00m,Diego Simeone,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/atletico-madrid/startseite/verein/13
130,parma-calcio-1913,Parma Calcio 1913,IT1,,33,23.8,24,72.7,4,Ennio Tardini,22352,€-17.30m,Carlos Cuesta,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/parma-calcio-1913/startseite/verein/130
1301,cs-maritimo,CS Marítimo,PO1,,29,27.2,19,65.5,2,Estádio do Marítimo,10600,+€200k,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/cs-maritimo/startseite/verein/1301
1304,heracles-almelo,Heracles Almelo,NL1,,30,25.2,16,53.3,3,Asito Stadion,12242,+-0,Bas Sibum,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/heracles-almelo/startseite/verein/1304
131,fc-barcelona,FC Barcelona,ES1,,28,24.3,10,35.7,18,Spotify Camp Nou,62657,€-66.00m,Hansi Flick,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-barcelona/startseite/verein/131
132,nac-breda,NAC Breda,NL1,,21,26.1,14,66.7,2,Rat Verlegh Stadion,20500,+-0,Jo Jansen,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/nac-breda/startseite/verein/132
133,sc-cambuur-leeuwarden,SC Cambuur Leeuwarden,NL1,,16,23.1,4,25.0,3,Cambuurstadion,10250,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/sc-cambuur-leeuwarden/startseite/verein/133
1387,acn-siena-1904,Siena FC,IT1,,20,25.5,2,10.0,0,Artemio Franchi,15373,+-0,,2012,../data/raw/transfermarkt-scraper/2012/clubs.json.gz,https://www.transfermarkt.co.uk/acn-siena-1904/startseite/verein/1387
1390,cagliari-calcio,Cagliari Calcio,IT1,,32,23.7,18,56.3,5,Unipol Domus,16416,+€8.25m,Fabio Pisacane,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/cagliari-calcio/startseite/verein/1390
1416,amiens-sc,Amiens SC,FR1,,24,24.1,10,41.7,7,Stade Crédit Agricole la Licorne,12999,+€700k,,2019,../data/raw/transfermarkt-scraper/2019/clubs.json.gz,https://www.transfermarkt.co.uk/amiens-sc/startseite/verein/1416
14171,thonon-evian-grand-geneve-fc,Thonon Évian Grand Genève FC,FR1,,27,27.4,6,22.2,1,Stade Camille Fournier,2500,+-0,,2014,../data/raw/transfermarkt-scraper/2014/clubs.json.gz,https://www.transfermarkt.co.uk/thonon-evian-grand-geneve-fc/startseite/verein/14171
1418,club-atletico-rosario-central,Club Atlético Rosario Central,ARG1,,28,27.2,6,21.4,4,Gigante de Arroyito,46755,€-285k,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-rosario-central/startseite/verein/1418
142,real-saragossa,Real Zaragoza,ES1,,23,26.0,6,26.1,1,La Romareda,33608,+€30k,,2012,../data/raw/transfermarkt-scraper/2012/clubs.json.gz,https://www.transfermarkt.co.uk/real-saragossa/startseite/verein/142
1420,sco-angers,Angers SCO,FR1,,22,24.5,13,59.1,6,Stade Raymond-Kopa,19350,+€17.75m,Alexandre Dujeux,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/sco-angers/startseite/verein/1420
1421,stade-reims,Stade Reims,FR1,,24,24.0,19,79.2,7,Stade Auguste-Delaune,20519,+€81.98m,Luka Elsner,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/stade-reims/startseite/verein/1421
1423,fc-valenciennes,Valenciennes FC,FR1,,30,23.6,15,50.0,5,Stade du Hainaut,25000,+€2.52m,,2013,../data/raw/transfermarkt-scraper/2013/clubs.json.gz,https://www.transfermarkt.co.uk/fc-valenciennes/startseite/verein/1423
1426,vvv-venlo,VVV-Venlo,NL1,,28,22.9,7,25.0,0,Covebo Stadion - De Koel,8000,+-0,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/vvv-venlo/startseite/verein/1426
1429,cesena-fc,Cesena FC,IT1,,28,26.0,4,14.3,0,Orogel Stadium - Dino Manuzzi,23860,+€335k,,2014,../data/raw/transfermarkt-scraper/2014/clubs.json.gz,https://www.transfermarkt.co.uk/cesena-fc/startseite/verein/1429
1434,sc-telstar,SC Telstar,NL1,,19,24.9,5,26.3,1,BUKO Stadion,5338,+-0,Anthony Correia,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/sc-telstar/startseite/verein/1434
1435,go-ahead-eagles-deventer,Go Ahead Eagles,NL1,,26,25.2,14,53.8,3,De Adelaarshorst,10400,+€8.20m,Mike Klein,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/go-ahead-eagles-deventer/startseite/verein/1435
1436,sc-beira-mar,SC Beira-Mar,PO1,,26,26.6,8,30.8,0,Estádio Municipal de Aveiro,32830,+-0,,2012,../data/raw/transfermarkt-scraper/2012/clubs.json.gz,https://www.transfermarkt.co.uk/sc-beira-mar/startseite/verein/1436
1444,racing-club,Racing Club Asociación Civil de Avellaneda,ARG1,,31,26.5,6,19.4,1,Presidente Perón,55000,+€10.17m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/racing-club/startseite/verein/1444
1455,fc-dordrecht,FC Dordrecht,NL1,,29,23.3,12,41.4,1,Matchoholic Stadion,4235,+-0,,2014,../data/raw/transfermarkt-scraper/2014/clubs.json.gz,https://www.transfermarkt.co.uk/fc-dordrecht/startseite/verein/1455
14554,club-atletico-tucuman,Club Atlético Tucumán,ARG1,,30,26.9,6,20.0,0,Monumental José Fierro,35200,+€2.11m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-tucuman/startseite/verein/14554
14602,aa-estudiantes-de-rio-cuarto,Asociación Atlética Estudiantes,ARG1,,32,28.6,2,6.3,0,Antonio Candini,12000,+€260k,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/aa-estudiantes-de-rio-cuarto/startseite/verein/14602
1465,gd-estoril-praia,GD Estoril Praia,PO1,,26,25.5,15,57.7,4,Estádio António Coimbra da Mota,5094,+€7.00m,Ian Cathro,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/gd-estoril-praia/startseite/verein/1465
14687,gimnasia-y-esgrima-de-mendoza,Club Atlético Gimnasia y Esgrima de Mendoza,ARG1,,30,27.4,4,13.3,0,Víctor Antonio Legrotaglie,14000,€-840k,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/gimnasia-y-esgrima-de-mendoza/startseite/verein/14687
148,tottenham-hotspur,Tottenham Hotspur,GB1,,37,25.5,28,75.7,24,Tottenham Hotspur Stadium,62850,€-251.20m,Thomas Frank,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/tottenham-hotspur/startseite/verein/148
15,bayer-04-leverkusen,Bayer 04 Leverkusen,L1,,36,24.5,27,75.0,12,BayArena,30210,+€14.00m,Erik ten Hag,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/bayer-04-leverkusen/startseite/verein/15
150,real-betis-sevilla,Real Betis Balompié,ES1,,26,27.5,12,46.2,6,La Cartuja,71374,+€8.65m,Manuel Pellegrini,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/real-betis-sevilla/startseite/verein/150
1531,fc-elche,Elche CF,ES1,,23,25.6,12,52.2,2,Manuel Martínez Valero,31388,€-6.50m,Eder Sarabia,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-elche/startseite/verein/1531
1533,sd-eibar,SD Eibar,ES1,,26,28.3,5,19.2,0,Ipurua,8164,+€2.60m,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/sd-eibar/startseite/verein/1533
16,borussia-dortmund,Borussia Dortmund,L1,,29,24.8,16,55.2,15,SIGNAL IDUNA PARK,81365,€-19.50m,Niko Kovac,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/borussia-dortmund/startseite/verein/16
162,as-monaco,AS Monaco,FR1,,28,25.4,28,100.0,9,Stade Louis-II,18525,€-4.50m,Adi Hütter,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/as-monaco/startseite/verein/162
1627,catania-calcio,Catania FC,IT1,,27,26.0,5,18.5,0,Cibali - Angelo Massimino,20204,€-101k,,2013,../data/raw/transfermarkt-scraper/2013/clubs.json.gz,https://www.transfermarkt.co.uk/catania-calcio/startseite/verein/1627
167,fc-augsburg,FC Augsburg,L1,,30,25.9,17,56.7,9,WWK ARENA,30660,€-2.55m,Sandro Wagner,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-augsburg/startseite/verein/167
16795,fc-granada,Granada CF,ES1,,24,26.1,8,33.3,4,Nuevo Los Cármenes,19336,+€19.70m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-granada/startseite/verein/16795
1775,club-atletico-san-lorenzo-de-almagro,Club Atlético San Lorenzo de Almagro,ARG1,,34,25.5,4,11.8,1,Pedro Bidegain,47964,+€6.56m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-san-lorenzo-de-almagro/startseite/verein/1775
17776,chapecoense,Associação Chapecoense de Futebol,BRA1,,34,28.0,2,5.9,0,Arena Condá,22600,+-0,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/chapecoense/startseite/verein/17776
18,borussia-monchengladbach,Borussia Mönchengladbach,L1,,29,26.5,17,58.6,11,Stadion im Borussia-Park,54042,+€8.20m,Gerardo Seoane,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/borussia-monchengladbach/startseite/verein/18
180,fc-southampton,Southampton FC,GB1,,27,26.6,15,55.6,6,St Mary's Stadium,32384,+€86.56m,Russell Martin,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-southampton/startseite/verein/180
1829,instituto-ac-cordoba,Instituto Atlético Central Córdoba,ARG1,,31,26.5,3,9.7,0,Juan Domingo Perón,25000,€-40k,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/instituto-ac-cordoba/startseite/verein/1829
189,club-atletico-boca-juniors,Club Atlético Boca Juniors,ARG1,,36,27.7,7,19.4,4,Alberto J. Armando,54000,€-6.58m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-boca-juniors/startseite/verein/189
19,brescia-calcio,Brescia Calcio,IT1,,28,25.1,12,42.9,1,Mario Rigamonti,19550,+€3.65m,,2019,../data/raw/transfermarkt-scraper/2019/clubs.json.gz,https://www.transfermarkt.co.uk/brescia-calcio/startseite/verein/19
192,roda-jc-kerkrade,Roda JC Kerkrade,NL1,,25,24.0,9,36.0,0,Parkstad Limburg Stadion,19979,+€1.30m,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/roda-jc-kerkrade/startseite/verein/192
19775,cd-riestra,Asociación de Fomento Deportivo Riestra Barrio Colón,ARG1,,33,29.7,3,9.1,0,Guillermo Laza,10000,€-430k,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/cd-riestra/startseite/verein/19775
199,corinthians-sao-paulo,Sport Club Corinthians Paulista,BRA1,,34,27.2,7,20.6,3,Neo Química Arena,49205,+€2.19m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/corinthians-sao-paulo/startseite/verein/199
200,fc-utrecht,FC Utrecht,NL1,,31,23.8,21,67.7,2,"Stadion ""Galgenwaard""",23750,€-2.00m,Ron Jans,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-utrecht/startseite/verein/200
202,fc-groningen,FC Groningen,NL1,,24,23.4,9,37.5,3,Euroborg,22550,+€1.55m,Dick Lukkien,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-groningen/startseite/verein/202
2029,ceara-sporting-club,Ceará Sporting Club,BRA1,,29,28.0,2,6.9,0,Estádio Governador Plácido Castelo,63904,+€2.30m,Anderson Batatais,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/ceara-sporting-club/startseite/verein/2029
2036,1-fc-heidenheim-1846,1. Fußballclub Heidenheim 1846,L1,,29,26.5,7,24.1,2,Voith-Arena,15000,+€7.50m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/1-fc-heidenheim-1846/startseite/verein/2036
2063,club-atletico-huracan,Club Atlético Huracán,ARG1,,30,27.8,7,23.3,2,Tomás Adolfo Ducó,43482,+€7.42m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-huracan/startseite/verein/2063
209,club-atletico-river-plate,Club Atlético River Plate,ARG1,,37,26.5,9,24.3,15,Mâs Monumental,85018,+€22.93m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-river-plate/startseite/verein/209
210,gremio-porto-alegre,Grêmio Foot-Ball Porto Alegrense,BRA1,,34,26.5,11,32.4,3,Arena do Grêmio,60540,€-6.38m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/gremio-porto-alegre/startseite/verein/210
2125,esporte-clube-vitoria,Esporte Clube Vitória,BRA1,,39,28.3,7,17.9,0,Estádio Manoel Barradas,30793,+€1.36m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/esporte-clube-vitoria/startseite/verein/2125
218,san-jose-earthquakes,San Jose Earthquakes,MLS1,,30,26.2,10,33.3,3,PayPal Park,18000,+€580k,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/san-jose-earthquakes/startseite/verein/218
21975,mito-hollyhock,Football Club Mito HollyHock,JAP1,,34,26.2,3,8.8,0,K's denki Stadium Mito,12000,+-0,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/mito-hollyhock/startseite/verein/21975
221,fc-santos,Santos Futebol Clube,BRA1,,37,26.7,9,24.3,4,Estádio Urbano Caldeira,16068,+€7.21m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-santos/startseite/verein/221
22171,fagiano-okayama,Fagiano Okayama Sports Club,JAP1,,32,27.2,4,12.5,1,JFE Hare no Kuni Stadium,20000,+-0,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fagiano-okayama/startseite/verein/22171
2239,us-cremonese,US Cremonese,IT1,,33,26.0,8,24.2,4,Giovanni Zini,16003,€-2.70m,Giovanni Persico,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/us-cremonese/startseite/verein/2239
2241,kashima-antlers,Kashima Antlers FC,JAP1,,29,27.1,5,17.2,3,Kashima Soccer Stadium,40728,+-0,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/kashima-antlers/startseite/verein/2241
2288,swansea-city,Swansea City,GB1,,22,24.8,17,77.3,4,Swansea.com Stadium,21088,+€8.35m,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/swansea-city/startseite/verein/2288
23,eintracht-braunschweig,Eintracht Braunschweig,L1,,30,25.6,11,36.7,2,EINTRACHT-Stadion,23325,+€750k,,2013,../data/raw/transfermarkt-scraper/2013/clubs.json.gz,https://www.transfermarkt.co.uk/eintracht-braunschweig/startseite/verein/23
234,feyenoord-rotterdam,Feyenoord Rotterdam,NL1,,37,25.3,20,54.1,13,"Stadion Feyenoord ""De Kuip""",47500,€-12.20m,Robin van Persie,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/feyenoord-rotterdam/startseite/verein/234
235,rkc-waalwijk,RKC Waalwijk,NL1,,31,24.7,9,29.0,6,Mandemakers Stadion,7186,+€4.15m,Henk Fraser,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/rkc-waalwijk/startseite/verein/235
23568,machida-zelvia,Zelvia,JAP1,,26,28.6,7,26.9,4,Machida GION Stadium,15320,+-0,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/machida-zelvia/startseite/verein/23568
23581,v-varen-nagasaki,V-Varen Nagasaki,JAP1,,34,28.2,8,23.5,1,Peace Stadium connected by SoftBank,20027,€-900k,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/v-varen-nagasaki/startseite/verein/23581
237,rcd-mallorca,RCD Mallorca,ES1,,24,27.3,9,37.5,6,Mallorca Son Moix,25736,+€28.20m,Jagoba Arrasate,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/rcd-mallorca/startseite/verein/237
23826,rasenballsport-leipzig,RB Leipzig,L1,,33,23.9,22,66.7,12,Red Bull Arena,47069,+€22.25m,Ole Werner,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/rasenballsport-leipzig/startseite/verein/23826
24,eintracht-frankfurt,Eintracht Frankfurt,L1,,32,25.1,21,65.6,15,Deutsche Bank Park,59500,+€52.40m,Dino Toppmöller,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/eintracht-frankfurt/startseite/verein/24
2402,defensa-y-justicia,Club Social y Deportivo Defensa y Justicia,ARG1,,29,26.2,8,27.6,1,Norberto Tomaghello,18750,+€3.19m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/defensa-y-justicia/startseite/verein/2402
2417,ca-belgrano,Club Atlético Belgrano,ARG1,,27,27.6,4,14.8,1,Julio César Villagra,38550,+€5.64m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/ca-belgrano/startseite/verein/2417
2420,vitoria-guimaraes-sc,Vitória Guimarães SC,PO1,,27,24.5,16,59.3,3,Estádio D. Afonso Henriques,30029,+€18.50m,Luís Pinto,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/vitoria-guimaraes-sc/startseite/verein/2420
2423,cd-santa-clara,CD Santa Clara,PO1,,35,25.3,23,65.7,1,Estádio de São Miguel,12500,+€7.78m,Vasco Matos,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/cd-santa-clara/startseite/verein/2423
2424,gil-vicente-fc,Gil Vicente FC,PO1,,27,24.9,20,74.1,3,Estádio Cidade de Barcelos,12046,+€5.33m,César Peixoto,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/gil-vicente-fc/startseite/verein/2424
2425,rio-ave-fc,Rio Ave FC,PO1,,25,24.5,24,96.0,4,Estádio do Rio Ave FC,5300,€-600k,Sotiris Sylaidopoulos,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/rio-ave-fc/startseite/verein/2425
2431,cf-estrela-amadora-sad,CF Estrela Amadora,PO1,,29,24.4,24,82.8,3,Estádio José Gomes,9288,€-1.00m,José Faria,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/cf-estrela-amadora-sad/startseite/verein/2431
244,olympique-marseille,Olympique Marseille,FR1,,26,27.9,25,96.2,12,Orange Vélodrome,67394,€-40.10m,Roberto De Zerbi,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/olympique-marseille/startseite/verein/244
2440,d-c-united,D.C. United,MLS1,,26,25.9,12,46.2,5,Audi Field,20000,€-11.29m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/d-c-united/startseite/verein/2440
2448,sporting-gijon,Sporting Gijón,ES1,,28,26.2,10,35.7,2,El Molinón - Enrique Castro Quini,29029,+€5.23m,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/sporting-gijon/startseite/verein/2448
2457,belenenses-sad,B SAD,PO1,,25,24.2,13,52.0,4,Estádio Nacional do Jamor,37593,+€1.80m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/belenenses-sad/startseite/verein/2457
2462,fluminense-rio-de-janeiro,Fluminense Football Club,BRA1,,33,29.7,11,33.3,4,Estádio Jornalista Mário Filho,82238,€-6.76m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fluminense-rio-de-janeiro/startseite/verein/2462
2497,real-oviedo,Real Oviedo,ES1,,21,26.4,7,33.3,3,Carlos Tartiere,30500,€-200k,Veljko Paunovic,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/real-oviedo/startseite/verein/2497
2503,boavista-porto-fc,Boavista FC,PO1,,9,26.8,2,22.2,0,Estádio do Bessa Século XXI,28263,+€100k,Cristiano Bacci,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/boavista-porto-fc/startseite/verein/2503
25184,club-atletico-barracas-central,Club Atlético Barracas Central,ARG1,,29,28.8,7,24.1,2,Claudio Chiqui Tapia,18000,+-0,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-barracas-central/startseite/verein/25184
252,genua-cfc,Genoa CFC,IT1,,31,24.0,20,64.5,7,Luigi Ferraris,34901,€-5.40m,Patrick Vieira,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/genua-cfc/startseite/verein/252
